"","M","efConstruction","efSearch","nsw","time","quantError","nRemovals","nInserts","nSearches","nMoves"
"1",8,108,4,FALSE,92.8250455856323,7.45240484441726,0,1000,2e+05,5851271
"2",8,108,8,FALSE,104.524515628815,7.45388600606832,0,1000,2e+05,6077117
"3",8,108,16,FALSE,172.898872852325,7.4552937314851,0,1000,2e+05,6152836
"4",8,108,32,FALSE,220.055880069733,7.45471789227065,0,1000,2e+05,6195900
"5",8,108,64,FALSE,297.856468439102,7.4545954061153,0,1000,2e+05,6210659
"6",16,96,4,FALSE,142.466879606247,7.45362747573813,0,1000,2e+05,5982644
"7",16,96,8,FALSE,130.464919090271,7.45193843009713,0,1000,2e+05,6161652
"8",16,96,16,FALSE,164.973071098328,7.45521135613618,0,1000,2e+05,6203181
"9",16,96,32,FALSE,227.242504119873,7.44948700895281,0,1000,2e+05,6230537
"10",16,96,64,FALSE,347.316025495529,7.4585019748244,0,1000,2e+05,6212897
"11",24,84,4,FALSE,131.908136129379,7.45821474339275,0,1000,2e+05,6058303
"12",24,84,8,FALSE,159.114301919937,7.45323065992353,0,1000,2e+05,6147851
"13",24,84,16,FALSE,210.655246257782,7.45156757373058,0,1000,2e+05,6206314
"14",24,84,32,FALSE,302.0416867733,7.45445698315465,0,1000,2e+05,6204429
"15",24,84,64,FALSE,489.303943395615,7.45773617720776,0,1000,2e+05,6214080
